sz	深圳|Shenzhen|sz|szx|SZ
bj	北京|Beijing|bj|pek|BJ
sh	上海|Shanghai|sh|sha|SH
gz	广州|Guangzhou|gz|can|GZ
hk	香港|Hong Kong|hk|hkg|HK
tw	台湾|Taiwan|tw|tpe|TW
jn	济南|Jinan|jn|tnj|JN
qd	青岛|Qingdao|qd|tao|QD
dl	大连|Dalian|dl|dlc|DL
xm	厦门|Xiamen|xm|xmn|XM
fz	福州|Fuzhou|fz|foc|FZ
hz	杭州|Hangzhou|hz|hgh|HZ
nj	南京|Nanjing|nj|nkg|NJ
wh	武汉|Wuhan|wh|wuh|WH
cs	长沙|Changsha|cs|csx|CS
cd	成都|Chengdu|cd|ctu|CD
cq	重庆|Chongqing|cq|ckg|CQ
xa	西安|Xi'an|xa|sia|XA
ty	太原|Taiyuan|ty|tyr|TY
sy	沈阳|Shenyang|sy|she|SY
hrb	哈尔滨|Harbin|hrb|hrb|HRB
tj	天津|Tianjin|tj|tsn|TJ
