# Cloudflare colo code -> Chinese name. Tab separated. Not exhaustive.
HKG	中国 香港
TPE	中国 台北
NRT	日本 东京
KIX	日本 大阪
ICN	韩国 首尔
SIN	新加坡
KUL	马来西亚 吉隆坡
BKK	泰国 曼谷
MNL	菲律宾 马尼拉
CGK	印尼 雅加达
BOM	印度 孟买
MAA	印度 金奈
DEL	印度 新德里
DXB	阿联酋 迪拜
TLV	以色列 特拉维夫
IST	土耳其 伊斯坦布尔
SYD	澳大利亚 悉尼
MEL	澳大利亚 墨尔本
AKL	新西兰 奥克兰
LAX	美国 洛杉矶
SJC	美国 圣何塞
SEA	美国 西雅图
DEN	美国 丹佛
DFW	美国 达拉斯
ORD	美国 芝加哥
IAD	美国 阿什本
EWR	美国 纽瓦克
ATL	美国 亚特兰大
MIA	美国 迈阿密
YYZ	加拿大 多伦多
YVR	加拿大 温哥华
MEX	墨西哥 墨西哥城
GRU	巴西 圣保罗
EZE	阿根廷 布宜诺斯艾利斯
SCL	智利 圣地亚哥
LHR	英国 伦敦
MAN	英国 曼彻斯特
AMS	荷兰 阿姆斯特丹
FRA	德国 法兰克福
MUC	德国 慕尼黑
DUS	德国 杜塞尔多夫
CDG	法国 巴黎
MRS	法国 马赛
MAD	西班牙 马德里
BCN	西班牙 巴塞罗那
MXP	意大利 米兰
FCO	意大利 罗马
ZRH	瑞士 苏黎世
VIE	奥地利 维也纳
ARN	瑞典 斯德哥尔摩
CPH	丹麦 哥本哈根
OSL	挪威 奥斯陆
HEL	芬兰 赫尔辛基
WAW	波兰 华沙
PRG	捷克 布拉格
BUD	匈牙利 布达佩斯
OTP	罗马尼亚 布加勒斯特
SOF	保加利亚 索非亚
ATH	希腊 雅典
LIS	葡萄牙 里斯本
DUB	爱尔兰 都柏林
KIV	摩尔多瓦 基希讷乌
JNB	南非 约翰内斯堡
CPT	南非 开普敦
LOS	尼日利亚 拉各斯
NBO	肯尼亚 内罗毕
CAI	埃及 开罗
